,article_name,country,revision_id,article_quality,population
110,Idris I of Kanem,Chad,802874918,Stub,13707000
111,Vice President of Chad,Chad,803166509,Stub,13707000
112,Hissène Habré,Chad,803166806,GA,13707000
113,Negue Djogo,Chad,803166989,Start,13707000
114,Wadel Abdelkader Kamougué,Chad,803167152,C,13707000
115,Félix Malloum,Chad,803167336,Start,13707000
116,Lol Mahamat Choua,Chad,803167424,C,13707000
117,Goukouni Oueddei,Chad,803167990,C,13707000
118,Albert Pahimi Padacké,Chad,803433107,C,13707000
119,List of heads of state of Chad,Chad,803812011,Start,13707000
120,Elise Loum,Chad,804773540,Start,13707000
121,Agnes Allafi,Chad,805493169,Start,13707000
122,Christine Georges Diguibaye,Chad,806337653,Stub,13707000
123,Pascal Yoadimnadji,Chad,806508985,C,13707000
124,Aissa Koli,Chad,806616268,Stub,13707000
125,Omar I of Kanem,Chad,807425129,Start,13707000
126,Template:Zimbabwe-politician-stub,Zimbabwe,391862046,Stub,17354000
127,Template:Zimbabwe-mayor-stub,Zimbabwe,444767985,Stub,17354000
128,Gervas Clay,Zimbabwe,574571582,Stub,17354000
129,Jabulani Dube,Zimbabwe,645408814,Stub,17354000
130,Template:ZimbabwePMs,Zimbabwe,663892878,Stub,17354000
131,Harry Davies (politician),Zimbabwe,669387487,Start,17354000
132,Fletcher Dulini,Zimbabwe,669981316,Stub,17354000
133,William Fairbridge,Zimbabwe,682576258,Start,17354000
134,Leopold Takawira,Zimbabwe,710060929,Start,17354000
135,Tinos Rusere,Zimbabwe,710524880,Start,17354000
136,Gift Tandare,Zimbabwe,710615823,Stub,17354000
137,Engelbert Rugeje,Zimbabwe,711448400,Start,17354000
138,Washington Malianga,Zimbabwe,711506001,Stub,17354000
139,Max Mnkandla,Zimbabwe,711509855,Stub,17354000
140,Lovemore Matombo,Zimbabwe,711958194,Stub,17354000
141,Alfred Nikita Mangena,Zimbabwe,712004487,Stub,17354000
142,Ronald Snapper,Zimbabwe,712233907,Stub,17354000
143,Simbi Mubako,Zimbabwe,713121927,Stub,17354000
144,Nicholas Kiti kiti,Zimbabwe,713308132,Stub,17354000
145,Aleck Gumbo,Zimbabwe,713580662,Stub,17354000
146,Jabulani Sibanda,Zimbabwe,713618917,Start,17354000
147,Cain Mathema,Zimbabwe,713726531,Stub,17354000
148,Patrick Kombayi,Zimbabwe,713740128,Stub,17354000
149,Langton Towungana,Zimbabwe,713899377,Stub,17354000
150,Eric Matinenga,Zimbabwe,714455111,Stub,17354000
151,Emmanuel Chiroto,Zimbabwe,714535045,Start,17354000
152,Muchadeyi Masunda,Zimbabwe,714706533,C,17354000
153,David Butau,Zimbabwe,714967769,Stub,17354000
154,Thompson Samkange,Zimbabwe,715131189,Stub,17354000
155,Nomalanga Khumalo,Zimbabwe,715183334,Stub,17354000
156,Henry Dzinotyiweyi,Zimbabwe,715867004,Stub,17354000
157,Edward Raradza,Zimbabwe,716017725,Stub,17354000
158,Rekayi Tangwena,Zimbabwe,716669163,Stub,17354000
159,Sibonile Nyamudeza,Zimbabwe,717380254,Stub,17354000
160,Misheck Kagurabadza,Zimbabwe,720008799,Stub,17354000
161,Morgan Femai,Zimbabwe,721674926,Stub,17354000
162,Bybit Lydia Tsomondo,Zimbabwe,723082034,Stub,17354000
163,Kisinoti Mukwazhe,Zimbabwe,723353282,Stub,17354000
164,David Karimanzira,Zimbabwe,725242133,Stub,17354000
165,Sobusa Gula-Ndebele,Zimbabwe,726651867,Stub,17354000
166,Sylvester Nguni,Zimbabwe,726686195,Stub,17354000
167,Thamsanqa Mahlangu,Zimbabwe,726687480,Stub,17354000
168,Tichaona Mudzingwa,Zimbabwe,726687648,Stub,17354000
169,Murisi Zwizwai,Zimbabwe,726687669,Stub,17354000
170,Samuel Undenge,Zimbabwe,726688144,Stub,17354000
171,Reuben Marumahoko,Zimbabwe,726688205,Stub,17354000
172,Simon Khaya-Moyo,Zimbabwe,730764918,Stub,17354000
173,"List of candidates in the Zimbabwean parliamentary election, 2013",Zimbabwe,735498335,B,17354000
174,Jevan Maseko,Zimbabwe,736911246,Stub,17354000
175,Munacho Mutezo,Zimbabwe,738729779,Stub,17354000
176,Sesel Zvidzai,Zimbabwe,738810400,Stub,17354000
177,Samuel Sipepa Nkomo,Zimbabwe,738992625,Stub,17354000
178,Faber Chidarikire,Zimbabwe,738992871,Start,17354000
179,Willard Chiwewe,Zimbabwe,738992910,Stub,17354000
180,Martin Dinha,Zimbabwe,738992918,Stub,17354000
181,Herbert Ushewokunze,Zimbabwe,739137894,Stub,17354000
182,Nyasha Chikwinya,Zimbabwe,742899761,Start,17354000
183,Naomi Nhiwatiwa,Zimbabwe,743971092,Start,17354000
184,Bright Matonga,Zimbabwe,744753863,Stub,17354000
185,Thokozani Khuphe,Zimbabwe,747274193,Start,17354000
186,Gerald B. Clarke,Zimbabwe,747497059,Stub,17354000
187,Border Gezi,Zimbabwe,748061603,Start,17354000
188,Rugare Gumbo,Zimbabwe,749496266,Start,17354000
189,George Nyandoro,Zimbabwe,750224976,Start,17354000
190,Paul Chimedza,Zimbabwe,750428952,Stub,17354000
191,Gorden Moyo,Zimbabwe,750974704,Stub,17354000
192,Daniel Shumba,Zimbabwe,753294248,Start,17354000
193,Douglas Mombeshora,Zimbabwe,755110125,Stub,17354000
194,Munyaradzi Gwisai,Zimbabwe,755337199,Start,17354000
195,Olivia Muchena,Zimbabwe,757616307,Start,17354000
196,Paurine Mpariwa,Zimbabwe,757616437,Stub,17354000
197,Sithembiso Nyoni,Zimbabwe,757617613,Stub,17354000
198,Earnest Mudzengi,Zimbabwe,757796569,Stub,17354000
199,Gift Banda,Zimbabwe,758442662,Stub,17354000
200,Wilson Kumbula,Zimbabwe,759330558,Stub,17354000
201,Paurina Mpariwa,Zimbabwe,760532029,Stub,17354000
202,Flora Buka,Zimbabwe,762630896,Stub,17354000
203,Elliot Manyika,Zimbabwe,763330074,Start,17354000
204,Francis Chaplin,Zimbabwe,763530115,Stub,17354000
205,Roger Hawkins (politician),Zimbabwe,763533706,Start,17354000
206,George Mitchell (Rhodesia),Zimbabwe,763540238,Start,17354000
207,John Landau,Zimbabwe,763870152,Stub,17354000
208,Byron Hove,Zimbabwe,763951988,Start,17354000
209,Diana Mitchell,Zimbabwe,764299725,Start,17354000
210,Maurice Nyagumbo,Zimbabwe,764826793,Start,17354000
211,Josiah Zion Gumede,Zimbabwe,765095810,Start,17354000
212,Hilary Squires,Zimbabwe,766847256,Start,17354000
213,Edson Zvobgo,Zimbabwe,767922311,Start,17354000
214,Felix Magalela Mafa Sibanda,Zimbabwe,769519957,C,17354000
